From_Label,To_Label,Area_km2
Water,Water,88340171.9859
Cropland,Cropland,42941443.4523
Forest,Forest,27605766.2202
Bareland,Bareland,27125142.3081
Grassland,Grassland,12135827.007
Shrubland,Shrubland,11400664.7358
Built-up,Built-up,2530476.2331
Wetland,Wetland,946241.5824
Grassland,Cropland,239604.5475
Cropland,Grassland,219642.0336
Forest,Cropland,217574.38079999998
Shrubland,Cropland,177316.97580000001
Cropland,Forest,175052.4705
Cropland,Shrubland,167376.44520000002
Cropland,Built-up,154386.3258
Built-up,Cropland,114479.9289
Permanent ice and snow,Permanent ice and snow,101298.8268
Forest,Shrubland,100473.2514
Shrubland,Forest,94774.0041
Water,Wetland,46383.3837
Wetland,Water,44906.562
Grassland,Shrubland,44827.938
Bareland,Wetland,37921.2858
Shrubland,Grassland,37567.1205
Grassland,Forest,36371.9277
Forest,Grassland,29308.9581
Bareland,Cropland,28664.1549
Wetland,Bareland,26191.1808
Bareland,Grassland,24411.6963
Shrubland,Built-up,23354.3277
Cropland,Wetland,23040.6228
Cropland,Bareland,21251.1762
Wetland,Cropland,20780.6742
Grassland,Built-up,20381.5638
Grassland,Bareland,20071.7073
Lichens and Mosses,Lichens and Mosses,18272.0358
Built-up,Shrubland,17744.4342
Built-up,Grassland,15167.8332
Forest,Built-up,13894.9947
Shrubland,Wetland,12070.0512
Built-up,Forest,11707.0641
Forest,Wetland,10797.763500000001
Wetland,Forest,10467.0315
Wetland,Shrubland,10156.0869
Bareland,Shrubland,9328.0428
Shrubland,Bareland,9150.5367
Bareland,Built-up,8825.4504
Built-up,Bareland,5577.6096
Grassland,Wetland,4780.1799
Wetland,Grassland,3786.5196
