From,To,Count,Area_km2,Period
5,5,131,11.79,1992-2000
5,20,1,0.09,1992-2000
7,7,1438,129.42,1992-2000
7,20,3,0.27,1992-2000
8,8,24816,2233.44,1992-2000
8,13,69,6.21,1992-2000
8,20,106,9.54,1992-2000
9,9,3,0.27,1992-2000
12,12,374,33.66,1992-2000
12,13,94,8.459999999999999,1992-2000
13,13,494,44.46,1992-2000
15,15,78,7.02,1992-2000
20,5,1,0.09,1992-2000
20,7,161,14.49,1992-2000
20,8,1360,122.39999999999999,1992-2000
20,12,4,0.36,1992-2000
20,13,5,0.44999999999999996,1992-2000
20,20,16897,1520.73,1992-2000
